File accession	classification	hr	sample
ENCFF398VOV	tissue	tibial_nerve_1_1	tibial_nerve
ENCFF673GJW	tissue	suprapubic_skin_2_1	suprapubic_skin
ENCFF299RPU	tissue	suprapubic_skin_4_1	suprapubic_skin
ENCFF975LIT	cell_line	daoy_1_1	daoy
ENCFF467ISV	cell_line	daoy_1_2	daoy
ENCFF872PGH	cell_line	h7_1_1	h7
ENCFF989CEV	cell_line	h7_1_2	h7
ENCFF326PKO	cell_line	m059j_1_1	m059j
ENCFF317ARA	cell_line	m059j_1_2	m059j
ENCFF876SRX	cell_line	nci_h460_1_1	nci_h460
ENCFF147QDQ	cell_line	nci_h460_1_2	nci_h460
ENCFF952ZOE	tissue	stomach_3_1	stomach
ENCFF852OZL	cell_line	skeletal_muscle_myoblast_1_1	skeletal_muscle_myoblast
ENCFF748QHT	cell_line	skeletal_muscle_myoblast_1_2	skeletal_muscle_myoblast
ENCFF865ICW	cell_line	rpmi7951_1_1	rpmi7951
ENCFF676GUE	cell_line	rpmi7951_1_2	rpmi7951
ENCFF096SPQ	tissue	gastrocnemius_medialis_3_1	gastrocnemius_medialis
ENCFF653FKA	tissue	gastrocnemius_medialis_3_2	gastrocnemius_medialis
ENCFF704TBX	tissue	thyroid_gland_2_1	thyroid_gland
ENCFF972PNH	tissue	thyroid_gland_2_2	thyroid_gland
ENCFF175USD	cell_line	sk_mel_5_1_1	sk_mel_5
ENCFF911LBG	cell_line	sk_mel_5_1_2	sk_mel_5
ENCFF373MPS	cell_line	purkinje_cell_1_1	purkinje_cell
ENCFF433OLB	cell_line	purkinje_cell_1_2	purkinje_cell
ENCFF776YSH	cell_line	smooth_muscle_cell_1_1	smooth_muscle_cell
ENCFF072KOK	cell_line	smooth_muscle_cell_1_2	smooth_muscle_cell
ENCFF707MOR	tissue	liver_3_1	liver
ENCFF434ZIT	tissue	liver_3_2	liver
ENCFF832XBO	cell_line	g401_1_1	g401
ENCFF921IWN	cell_line	g401_1_2	g401
ENCFF166LSM	cell_line	cardiac_muscle_cell_2_1	cardiac_muscle_cell
ENCFF314OZK	cell_line	cardiac_muscle_cell_2_2	cardiac_muscle_cell
ENCFF014IWI	cell_line	a172_1_1	a172
ENCFF575QDK	cell_line	a172_1_2	a172
ENCFF975JAS	cell_line	airway_epithelial_cell_1_1	airway_epithelial_cell
ENCFF638CSF	cell_line	airway_epithelial_cell_1_2	airway_epithelial_cell
ENCFF712ADS	cell_line	mammary_microvascular_endothelial_cell_1_1	mammary_microvascular_endothelial_cell
ENCFF146NYS	cell_line	mammary_microvascular_endothelial_cell_1_2	mammary_microvascular_endothelial_cell
ENCFF646YNM	cell_line	cardiac_ventricle_fibroblast_1_1	cardiac_ventricle_fibroblast
ENCFF156XZW	cell_line	cardiac_ventricle_fibroblast_1_2	cardiac_ventricle_fibroblast
ENCFF800SIJ	cell_line	epithelial_cell_of_proximal_tubule_1_1	epithelial_cell_of_proximal_tubule
ENCFF922JNB	cell_line	epithelial_cell_of_proximal_tubule_1_2	epithelial_cell_of_proximal_tubule
ENCFF940WFO	cell_line	lhcn_m2_1_1	lhcn_m2
ENCFF790FJL	cell_line	lhcn_m2_1_2	lhcn_m2
ENCFF308SRM	cell_line	caki2_1_1	caki2
ENCFF685WJV	cell_line	caki2_1_2	caki2
ENCFF008RKC	tissue	adrenal_gland_4_1	adrenal_gland
ENCFF736CEQ	tissue	thyroid_gland_1_1	thyroid_gland
ENCFF436POR	tissue	thyroid_gland_1_2	thyroid_gland
ENCFF466VVG	cell_line	uterine_smooth_muscle_cell_1_1	uterine_smooth_muscle_cell
ENCFF029UWI	cell_line	uterine_smooth_muscle_cell_1_2	uterine_smooth_muscle_cell
ENCFF876WYO	cell_line	sjsa1_1_1	sjsa1
ENCFF588OXD	cell_line	sjsa1_1_2	sjsa1
ENCFF710YES	tissue	adrenal_gland_3_1	adrenal_gland
ENCFF491ISO	tissue	adrenal_gland_3_2	adrenal_gland
ENCFF587GJM	tissue	temporal_lobe_1_1	temporal_lobe
ENCFF823QHI	tissue	temporal_lobe_1_2	temporal_lobe
ENCFF486DGZ	cell_line	k562_4_1	k562
ENCFF088LCK	cell_line	k562_4_2	k562
ENCFF795IDG	tissue	body_of_pancreas_2_1	body_of_pancreas
ENCFF631IKA	cell_line	myotube_1_1	myotube
ENCFF082PRM	cell_line	myotube_1_2	myotube
ENCFF629GPS	cell_line	h4_1_1	h4
ENCFF391NQS	cell_line	h4_1_2	h4
ENCFF367CLO	cell_line	gm12878_4_1	gm12878
ENCFF886ZXZ	cell_line	gm12878_4_2	gm12878
ENCFF663XXF	cell_line	mg63_1_1	mg63
ENCFF280XKK	cell_line	mg63_1_2	mg63
ENCFF039PXF	cell_line	smooth_muscle_cell_of_trachea_1_1	smooth_muscle_cell_of_trachea
ENCFF060FCJ	cell_line	smooth_muscle_cell_of_trachea_1_2	smooth_muscle_cell_of_trachea
ENCFF917RBA	cell_line	ocily7_1_1	ocily7
ENCFF561ERP	cell_line	ocily7_1_2	ocily7
ENCFF257LZM	cell_line	karpas_422_1_1	karpas_422
ENCFF491FJF	cell_line	karpas_422_1_2	karpas_422
ENCFF508PCH	tissue	left_colon_2_1	left_colon
ENCFF821VVG	tissue	heart_right_ventricle_2_1	heart_right_ventricle
ENCFF260VRG	tissue	sciatic_nerve_1_1	sciatic_nerve
ENCFF559RWJ	tissue	omental_fat_pad_1_1	omental_fat_pad
ENCFF005RLW	tissue	tibial_nerve_2_1	tibial_nerve
ENCFF906OMD	tissue	breast_epithelium_1_1	breast_epithelium
ENCFF854EYM	tissue	placenta_7_1	placenta
ENCFF702BES	tissue	sigmoid_colon_4_1	sigmoid_colon
ENCFF632UQN	tissue	thyroid_gland_5_1	thyroid_gland
ENCFF031CKR	tissue	esophagus_squamous_epithelium_3_1	esophagus_squamous_epithelium
ENCFF045PTB	tissue	sigmoid_colon_2_1	sigmoid_colon
ENCFF427ATU	cell_line	endometrial_microvascular_endothelial_cells_1_1	endometrial_microvascular_endothelial_cells
ENCFF367DJP	cell_line	endometrial_microvascular_endothelial_cells_1_2	endometrial_microvascular_endothelial_cells
ENCFF771NMO	cell_line	sjcrh30_1_1	sjcrh30
ENCFF955BPJ	cell_line	sjcrh30_1_2	sjcrh30
ENCFF061BJL	tissue	ovary_6_1	ovary
ENCFF467TWZ	tissue	gastrocnemius_medialis_1_1	gastrocnemius_medialis
ENCFF939MHB	tissue	upper_lobe_of_left_lung_1_1	upper_lobe_of_left_lung
ENCFF169YTW	tissue	upper_lobe_of_left_lung_4_1	upper_lobe_of_left_lung
ENCFF949ZRX	tissue	adrenal_gland_7_1	adrenal_gland
ENCFF736QCV	tissue	adrenal_gland_7_2	adrenal_gland
ENCFF577KCY	tissue	subcutaneous_adipose_tissue_4_1	subcutaneous_adipose_tissue
ENCFF682JCA	tissue	subcutaneous_adipose_tissue_2_1	subcutaneous_adipose_tissue
ENCFF495AYZ	tissue	tibial_nerve_4_1	tibial_nerve
ENCFF370RMR	tissue	heart_left_ventricle_1_1	heart_left_ventricle
ENCFF732HBO	tissue	testis_1_1	testis
ENCFF485OGN	tissue	prostate_gland_2_1	prostate_gland
ENCFF795SXL	tissue	lower_leg_skin_3_1	lower_leg_skin
ENCFF701OLG	tissue	right_lobe_of_liver_4_1	right_lobe_of_liver
ENCFF599AFQ	tissue	lower_leg_skin_4_1	lower_leg_skin
ENCFF169LQZ	tissue	colonic_mucosa_1_1	colonic_mucosa
ENCFF776BTK	tissue	stomach_5_1	stomach
ENCFF149KLH	tissue	placenta_6_1	placenta
ENCFF795UTR	tissue	thoracic_aorta_1_1	thoracic_aorta
ENCFF261ZPX	tissue	thoracic_aorta_1_2	thoracic_aorta
ENCFF320BJB	tissue	placenta_2_1	placenta
ENCFF588XFP	tissue	upper_lobe_of_left_lung_2_1	upper_lobe_of_left_lung
ENCFF577SLL	tissue	sigmoid_colon_3_1	sigmoid_colon
ENCFF998IFH	tissue	right_lobe_of_liver_2_1	right_lobe_of_liver
ENCFF249NNL	tissue	esophagus_muscularis_mucosa_3_1	esophagus_muscularis_mucosa
ENCFF288JWC	tissue	gastrocnemius_medialis_4_1	gastrocnemius_medialis
ENCFF285NIX	tissue	omental_fat_pad_3_1	omental_fat_pad
ENCFF222PXI	tissue	gastroesophageal_sphincter_4_1	gastroesophageal_sphincter
ENCFF609JOX	cell_line	ht_29_1_1	ht_29
ENCFF046QVS	cell_line	ht_29_1_2	ht_29
ENCFF175DVU	cell_line	a375_1_1	a375
ENCFF446MZM	cell_line	a375_1_2	a375
ENCFF259PFY	tissue	testis_2_1	testis
ENCFF801VQX	tissue	transverse_colon_3_1	transverse_colon
ENCFF080JPL	tissue	spleen_6_1	spleen
ENCFF875UFG	tissue	transverse_colon_1_1	transverse_colon
ENCFF898UXF	tissue	ascending_aorta_1_1	ascending_aorta
ENCFF661RYJ	tissue	adrenal_gland_6_1	adrenal_gland
ENCFF490WXZ	tissue	transverse_colon_4_1	transverse_colon
ENCFF082QRB	tissue	esophagus_muscularis_mucosa_1_1	esophagus_muscularis_mucosa
ENCFF380WQC	tissue	ovary_1_1	ovary
ENCFF846ZKU	tissue	right_atrium_auricular_region_2_1	right_atrium_auricular_region
ENCFF866SAB	tissue	breast_epithelium_2_1	breast_epithelium
ENCFF751ODP	tissue	suprapubic_skin_1_1	suprapubic_skin
ENCFF596GXF	tissue	peyer's_patch_2_1	peyer's_patch
ENCFF193ERL	tissue	breast_epithelium_3_1	breast_epithelium
ENCFF462HXM	cell_line	hepatocyte_1_1	hepatocyte
ENCFF497TJL	cell_line	hepatocyte_1_2	hepatocyte
ENCFF064QSR	tissue	omental_fat_pad_2_1	omental_fat_pad
ENCFF076NNR	tissue	upper_lobe_of_left_lung_6_1	upper_lobe_of_left_lung
ENCFF610HRQ	tissue	heart_left_ventricle_2_1	heart_left_ventricle
ENCFF273KTX	tissue	uterus_3_1	uterus
ENCFF042VIA	tissue	prostate_gland_1_1	prostate_gland
ENCFF612UEF	tissue	spleen_4_1	spleen
ENCFF434VRE	tissue	right_cardiac_atrium_1_1	right_cardiac_atrium
ENCFF858UNG	tissue	suprapubic_skin_3_1	suprapubic_skin
ENCFF056JMG	cell_line	hffc6_6_1	hffc6
ENCFF652AFK	cell_line	hffc6_6_2	hffc6
ENCFF187OSO	cell_line	hffc6_6_3	hffc6
ENCFF734MHI	cell_line	hffc6_6_4	hffc6
ENCFF320RSO	cell_line	hffc6_6_5	hffc6
ENCFF752KIC	cell_line	hffc6_6_6	hffc6
ENCFF378OOI	tissue	right_ventricle_myocardium_inferior_1_1	right_ventricle_myocardium_inferior
ENCFF658KST	tissue	right_lobe_of_liver_3_1	right_lobe_of_liver
ENCFF539KXZ	tissue	adrenal_gland_2_1	adrenal_gland
ENCFF792KTB	tissue	adrenal_gland_1_1	adrenal_gland
ENCFF721BRA	cell_line	mcf7_1_1	mcf7
ENCFF325KTI	cell_line	imr90_1_1	imr90
ENCFF863QWG	cell_line	hepg2_1_1	hepg2
ENCFF002NOM	tissue	placenta_11_1	placenta
ENCFF090XWE	cell_line	t_cell_2_1	t_cell
ENCFF830SAW	cell_line	t_cell_2_2	t_cell
ENCFF459HRW	tissue	placenta_4_1	placenta
ENCFF993FDD	tissue	adrenal_gland_5_1	adrenal_gland
ENCFF288QKP	tissue	ovary_2_1	ovary
ENCFF952GZT	tissue	posterior_vena_cava_1_1	posterior_vena_cava
ENCFF607DVO	tissue	ovary_3_1	ovary
ENCFF447JQZ	cell_line	h1_de_1_1	h1_de
ENCFF717IGS	cell_line	h1_de_1_2	h1_de
ENCFF036UCM	cell_line	h1_de_1_3	h1_de
ENCFF740CHD	tissue	left_cardiac_atrium_2_1	left_cardiac_atrium
ENCFF180ACE	tissue	mucosa_of_descending_colon_2_1	mucosa_of_descending_colon
ENCFF311HGE	tissue	heart_left_ventricle_5_1	heart_left_ventricle
ENCFF653OLW	tissue	kidney_1_1	kidney
ENCFF378HMN	tissue	ovary_5_1	ovary
ENCFF408FCD	tissue	heart_left_ventricle_4_1	heart_left_ventricle
ENCFF759RCN	tissue	left_lung_1_1	left_lung
ENCFF480KNS	tissue	lower_lobe_of_right_lung_1_1	lower_lobe_of_right_lung
ENCFF174OMR	cell_line	h1_2_1	h1
ENCFF910OBU	cell_line	h1_2_2	h1
ENCFF684BKA	cell_line	h9_neural_crest_1_1	h9_neural_crest
ENCFF290ZZQ	cell_line	h9_neural_crest_1_2	h9_neural_crest
ENCFF826BEQ	tissue	right_cardiac_atrium_4_1	right_cardiac_atrium
ENCFF119FZL	tissue	left_cardiac_atrium_1_1	left_cardiac_atrium
ENCFF784GEM	tissue	heart_right_ventricle_1_1	heart_right_ventricle
ENCFF440HGB	tissue	heart_left_ventricle_3_1	heart_left_ventricle
ENCFF054ADN	cell_line	h9_chondro_1_1	h9_chondro
ENCFF496AMJ	cell_line	h9_chondro_1_2	h9_chondro
ENCFF217MKR	cell_line	h9_chondro_1_3	h9_chondro
ENCFF997RHB	cell_line	hffc6_5_1	hffc6
