dataset	b6cast	tissue	age	sex	rep	5x_v_wt	disease_status	forelimb	c2c12	f1219	adrenal	sample	hr	classification	sample_display	adult	tissue_adult
adrenal_gland_2_1	False	adrenal				False		False	False	False	True	adrenal	adrenal_gland_2_1	tissue	Adrenal gland	True	adrenal_True
adrenal_gland_2_2	False	adrenal				False		False	False	False	True	adrenal	adrenal_gland_2_2	tissue	Adrenal gland	True	adrenal_True
adrenal_gland_1_1	False	adrenal				False		False	False	False	True	adrenal	adrenal_gland_1_1	tissue	Adrenal gland	True	adrenal_True
adrenal_gland_1_2	False	adrenal				False		False	False	False	True	adrenal	adrenal_gland_1_2	tissue	Adrenal gland	True	adrenal_True
adrenal_10d_m_2	True	adrenal	10d	m	2.0							adrenal_10d	adrenal_10d_m_2	tissue	Adrenal gland PND10	False	adrenal_False
adrenal_10d_m_1	True	adrenal	10d	m	1.0							adrenal_10d	adrenal_10d_m_1	tissue	Adrenal gland PND10	False	adrenal_False
adrenal_10d_f_1	True	adrenal	10d	f	1.0							adrenal_10d	adrenal_10d_f_1	tissue	Adrenal gland PND10	False	adrenal_False
adrenal_10d_f_2	True	adrenal	10d	f	2.0							adrenal_10d	adrenal_10d_f_2	tissue	Adrenal gland PND10	False	adrenal_False
adrenal_14d_f_2	True	adrenal	14d	f	2.0							adrenal_14d	adrenal_14d_f_2	tissue	Adrenal gland PND14	False	adrenal_False
adrenal_14d_f_1	True	adrenal	14d	f	1.0							adrenal_14d	adrenal_14d_f_1	tissue	Adrenal gland PND14	False	adrenal_False
adrenal_14d_m_2	True	adrenal	14d	m	2.0							adrenal_14d	adrenal_14d_m_2	tissue	Adrenal gland PND14	False	adrenal_False
adrenal_14d_m_1	True	adrenal	14d	m	1.0							adrenal_14d	adrenal_14d_m_1	tissue	Adrenal gland PND14	False	adrenal_False
adrenal_18-20mo_m_1	True	adrenal	18-20mo	m	1.0							adrenal_18-20mo	adrenal_18-20mo_m_1	tissue	Adrenal gland PNM18-20	True	adrenal_True
adrenal_18-20mo_f_1	True	adrenal	18-20mo	f	1.0							adrenal_18-20mo	adrenal_18-20mo_f_1	tissue	Adrenal gland PNM18-20	True	adrenal_True
adrenal_18-20mo_f_2	True	adrenal	18-20mo	f	2.0							adrenal_18-20mo	adrenal_18-20mo_f_2	tissue	Adrenal gland PNM18-20	True	adrenal_True
