2022-08-17 22:48:49.041056	https://www.encodeproject.org/report/?type=Experiment&control_type%21=%2A&perturbed=false&assay_title=long+read+RNA-seq&replicates.library.biosample.donor.organism.scientific_name=Mus+musculus&lab.title=Ali+Mortazavi%2C+UCI&status=released&limit=all
ID	Accession	Assay name	Assay title	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR791JQO/	ENCSR791JQO	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J left cerebral cortex tissue male (14 days)	left cerebral cortex		ENC4_453, ENC4_454 B6Cast F1 PND14 3x Males 03 L. cortex	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF322BTB/,/files/ENCFF100UBG/,/files/ENCFF823WDR/,/files/ENCFF812RTU/,/files/ENCFF254GFU/,/files/ENCFF832GTM/,/files/ENCFF777UGV/,/files/ENCFF849AKV/,/files/ENCFF769YZL/,/files/ENCFF125MOK/,/files/ENCFF816VUM/,/files/ENCFF708ASP/		ENCBS233WUB,ENCBS993UDC	2,1	1		Mus musculus	unknown	14 days												/replicates/fce4eb8a-fe21-495d-8a26-213a2925f133/,/replicates/306e2daf-9a32-4327-84cc-b4f0068f1db9/				
/experiments/ENCSR754VEZ/	ENCSR754VEZ	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J gastrocnemius tissue female (10 days)	gastrocnemius		ENC4_387a, ENC4_388a B6Cast F1 PND10_Female Gastrocnemius	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF707EKH/,/files/ENCFF337DWM/,/files/ENCFF269FYE/,/files/ENCFF696VVK/,/files/ENCFF691USV/,/files/ENCFF775FEC/,/files/ENCFF293HRQ/,/files/ENCFF326GVC/,/files/ENCFF221IAN/,/files/ENCFF790IBF/,/files/ENCFF508QFT/,/files/ENCFF496IBH/		ENCBS927BKO,ENCBS900JGS	1,2	1		Mus musculus	unknown	10 days												/replicates/09a7fd09-961e-4666-824c-e16a9ea11c50/,/replicates/bce264a8-4158-4c4f-aec0-74103709959a/				
/experiments/ENCSR242UEB/	ENCSR242UEB	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J adrenal gland tissue male (36 days)	adrenal gland		ENC4_231 B6Cast F1 PND36_ Male 03_Adrenals	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF396AJK/,/files/ENCFF988MZV/,/files/ENCFF875JYA/,/files/ENCFF549DGV/,/files/ENCFF501YNI/,/files/ENCFF806YCM/,/files/ENCFF297ZHK/,/files/ENCFF852UAU/,/files/ENCFF012CDD/,/files/ENCFF057KCX/,/files/ENCFF981JAQ/,/files/ENCFF758WHV/		ENCBS758KRR,ENCBS414TUZ	1,2	1		Mus musculus	unknown	36 days												/replicates/308984eb-288e-4b22-94b9-e1db17594645/,/replicates/46a71b29-bf4b-4caf-8663-281040446778/				
/experiments/ENCSR665XLM/	ENCSR665XLM	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J adrenal gland tissue female (10 days)	adrenal gland		ENC4_221 - B6Cast F1 PND10_Female 03_Adrenals	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF863AGD/,/files/ENCFF391CPH/,/files/ENCFF321AJK/,/files/ENCFF815DRE/,/files/ENCFF276HLF/,/files/ENCFF550NPJ/,/files/ENCFF018CWD/,/files/ENCFF218PAQ/,/files/ENCFF815TTD/,/files/ENCFF556CPB/,/files/ENCFF756SOZ/,/files/ENCFF047XSD/		ENCBS824HLN,ENCBS622FYD	1,2	1		Mus musculus	unknown	10 days												/replicates/bc44c800-22c0-4ac6-a36d-d3646ec47401/,/replicates/429d20c9-b7e0-4513-85a0-d37ce0f39297/				
/experiments/ENCSR885NRP/	ENCSR885NRP	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J adrenal gland tissue male (18-20 months)	adrenal gland		ENC4_239 B6Cast F1 PND 18-20 months_Male 03_Adrenals	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF953PDM/,/files/ENCFF811RRD/,/files/ENCFF527XYZ/,/files/ENCFF153SUM/,/files/ENCFF167IJD/,/files/ENCFF684SLZ/		ENCBS999WBI	1	1		Mus musculus	unknown	18-20 months												/replicates/26b92347-cda6-4b41-950f-29c38ee8ac80/				
/experiments/ENCSR628IMW/	ENCSR628IMW	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J left cerebral cortex tissue male adult (18-20 months)	left cerebral cortex		ENC4_469, ENC4_470 B6Cast F1 PND 18-20 months Female 03 L. cortex	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF188URJ/,/files/ENCFF565RLW/,/files/ENCFF140SND/,/files/ENCFF325BXV/,/files/ENCFF368FAO/,/files/ENCFF691BND/,/files/ENCFF578NAL/,/files/ENCFF315DLM/,/files/ENCFF864JUM/,/files/ENCFF340NTJ/,/files/ENCFF851BOA/,/files/ENCFF603QTD/		ENCBS321KXV,ENCBS972OCB	2,1	1		Mus musculus	adult	18-20 months												/replicates/9c11648f-28d6-44df-99a0-e3e65d2aee71/,/replicates/eedf5278-ca8d-4c14-8fd7-41ae6328237c/				
/experiments/ENCSR309XOR/	ENCSR309XOR	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J adrenal gland tissue female (18-20 months)	adrenal gland		ENC4_240 - B6Cast F1 PND 18-20 months_Female 03 _Adrenals	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF169PFY/,/files/ENCFF142NQU/,/files/ENCFF142VQP/,/files/ENCFF406KAE/,/files/ENCFF416OPW/,/files/ENCFF745YKM/,/files/ENCFF843IRW/,/files/ENCFF331LQP/,/files/ENCFF125RCP/,/files/ENCFF554MFV/,/files/ENCFF540ZRA/,/files/ENCFF941ZTS/		ENCBS180MQS,ENCBS703MDQ	1,2	1		Mus musculus	unknown	18-20 months												/replicates/803e0077-7a45-4922-af2a-5368325b4ddd/,/replicates/bf6868b8-7023-4f8c-81ad-3a4a09834a81/				
/experiments/ENCSR187TGD/	ENCSR187TGD	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J heart tissue female (14 days)	heart		ENC4_483, ENC4_484 heart_B6Cast F1 PND14 3x Females 03 heart_ENC4_cDNA595, cDNA_596	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF356CMR/,/files/ENCFF885OVT/,/files/ENCFF718LUW/,/files/ENCFF484VDN/,/files/ENCFF079VYU/,/files/ENCFF014ZHD/,/files/ENCFF703PQX/,/files/ENCFF890XGT/,/files/ENCFF245XSW/,/files/ENCFF951AXN/,/files/ENCFF746BSO/,/files/ENCFF182QZF/		ENCBS976RBP,ENCBS807VSF	1,2	1		Mus musculus	unknown	14 days												/replicates/74c6ec94-a957-4cd7-9d73-fb670baaa7fa/,/replicates/ec2dcfb3-dcba-4c19-b6cc-93b79951f627/				
/experiments/ENCSR026WRM/	ENCSR026WRM	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J layer of hippocampus tissue male (14 days)	layer of hippocampus		ENC4_415, ENC4_416 hippocampus_B6CastF1_PND14_3x male_7,8,9_ENC4_cDNA499	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF018SKD/,/files/ENCFF402OZL/,/files/ENCFF181UGB/,/files/ENCFF182ZKL/,/files/ENCFF587QKV/,/files/ENCFF574LQO/,/files/ENCFF655BWX/,/files/ENCFF153WGA/,/files/ENCFF110RMH/,/files/ENCFF057WDB/,/files/ENCFF753VCG/,/files/ENCFF964QFG/		ENCBS299AJA,ENCBS642ONZ	2,1	1		Mus musculus	unknown	14 days												/replicates/331f0537-d7d1-4beb-9808-846765d2d6ac/,/replicates/66ca1348-82f8-47b9-b8fe-ad1bc5940f2a/				
/experiments/ENCSR146ZFC/	ENCSR146ZFC	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J layer of hippocampus tissue female (14 days)	layer of hippocampus		ENC4_413, ENC4_414 hippocampus_B6CastF1_PND14_3x female_4,5,6_ENC4_cDNA497	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF164GLG/,/files/ENCFF518QIV/,/files/ENCFF982CWF/,/files/ENCFF809BZD/,/files/ENCFF609FJG/,/files/ENCFF655JBV/,/files/ENCFF834PLA/,/files/ENCFF965DIE/,/files/ENCFF511POB/,/files/ENCFF083NGA/,/files/ENCFF336WYK/,/files/ENCFF176XZM/		ENCBS229LCL,ENCBS708FHL	1,2	1		Mus musculus	unknown	14 days												/replicates/8f998939-55ee-4a68-ad5c-dac85cd43919/,/replicates/7532d320-13ce-4b42-a8df-0493b4a6ec23/				
