heart_right_ventricle_2_1,heart_right_ventricle_2_1,PacBio,processing/heart_right_ventricle_2_1_labeled.sam
kidney_1_1,kidney_1_1,PacBio,processing/kidney_1_1_labeled.sam
left_cardiac_atrium_1_1,left_cardiac_atrium_1_1,PacBio,processing/left_cardiac_atrium_1_1_labeled.sam
left_colon_1_1,left_colon_1_1,PacBio,processing/left_colon_1_1_labeled.sam
left_lung_1_1,left_lung_1_1,PacBio,processing/left_lung_1_1_labeled.sam
left_lung_2_1,left_lung_2_1,PacBio,processing/left_lung_2_1_labeled.sam
left_ventricle_myocardium_inferior_1_1,left_ventricle_myocardium_inferior_1_1,PacBio,processing/left_ventricle_myocardium_inferior_1_1_labeled.sam
left_ventricle_myocardium_superior_1_1,left_ventricle_myocardium_superior_1_1,PacBio,processing/left_ventricle_myocardium_superior_1_1_labeled.sam
lower_lobe_of_left_lung_1_1,lower_lobe_of_left_lung_1_1,PacBio,processing/lower_lobe_of_left_lung_1_1_labeled.sam
lower_lobe_of_left_lung_2_1,lower_lobe_of_left_lung_2_1,PacBio,processing/lower_lobe_of_left_lung_2_1_labeled.sam
lower_lobe_of_right_lung_1_1,lower_lobe_of_right_lung_1_1,PacBio,processing/lower_lobe_of_right_lung_1_1_labeled.sam
mesenteric_fat_pad_1_1,mesenteric_fat_pad_1_1,PacBio,processing/mesenteric_fat_pad_1_1_labeled.sam
mucosa_of_descending_colon_1_1,mucosa_of_descending_colon_1_1,PacBio,processing/mucosa_of_descending_colon_1_1_labeled.sam
mucosa_of_descending_colon_2_1,mucosa_of_descending_colon_2_1,PacBio,processing/mucosa_of_descending_colon_2_1_labeled.sam
ovary_3_1,ovary_3_1,PacBio,processing/ovary_3_1_labeled.sam
ovary_1_1,ovary_1_1,PacBio,processing/ovary_1_1_labeled.sam
ovary_2_1,ovary_2_1,PacBio,processing/ovary_2_1_labeled.sam
posterior_vena_cava_1_1,posterior_vena_cava_1_1,PacBio,processing/posterior_vena_cava_1_1_labeled.sam
posterior_vena_cava_2_1,posterior_vena_cava_2_1,PacBio,processing/posterior_vena_cava_2_1_labeled.sam
psoas_muscle_2_1,psoas_muscle_2_1,PacBio,processing/psoas_muscle_2_1_labeled.sam
psoas_muscle_1_1,psoas_muscle_1_1,PacBio,processing/psoas_muscle_1_1_labeled.sam
right_cardiac_atrium_1_1,right_cardiac_atrium_1_1,PacBio,processing/right_cardiac_atrium_1_1_labeled.sam
right_cardiac_atrium_3_1,right_cardiac_atrium_3_1,PacBio,processing/right_cardiac_atrium_3_1_labeled.sam
right_cardiac_atrium_4_1,right_cardiac_atrium_4_1,PacBio,processing/right_cardiac_atrium_4_1_labeled.sam
right_cardiac_atrium_2_1,right_cardiac_atrium_2_1,PacBio,processing/right_cardiac_atrium_2_1_labeled.sam
right_lobe_of_liver_1_1,right_lobe_of_liver_1_1,PacBio,processing/right_lobe_of_liver_1_1_labeled.sam
right_lobe_of_liver_2_1,right_lobe_of_liver_2_1,PacBio,processing/right_lobe_of_liver_2_1_labeled.sam
right_ventricle_myocardium_inferior_1_1,right_ventricle_myocardium_inferior_1_1,PacBio,processing/right_ventricle_myocardium_inferior_1_1_labeled.sam
right_ventricle_myocardium_superior_1_1,right_ventricle_myocardium_superior_1_1,PacBio,processing/right_ventricle_myocardium_superior_1_1_labeled.sam
upper_lobe_of_right_lung_1_1,upper_lobe_of_right_lung_1_1,PacBio,processing/upper_lobe_of_right_lung_1_1_labeled.sam
huvec_1_1,huvec_1_1,PacBio,processing/huvec_1_1_labeled.sam
