3,4,Known
4,6,Known
6,8,Known
6,9,Known
10,19,Known
12,21,Known
13,22,Known
17,29,Known
20,32,Known
22,38,Known
24,41,Known
24,43,Known
25,51,Known
30,73,Known
31,87,Known
31,88,Known
32,89,Known
33,91,Known
34,92,Known
35,93,Known
36,94,Known
37,95,Known
39,97,Known
41,99,Known
45,104,Known
47,107,Known
47,110,Known
47,112,Known
47,123,Known
47,124,Known
48,126,Known
49,127,Known
50,129,Known
51,132,Known
51,136,Known
51,138,Known
51,140,Known
51,143,Known
52,145,Known
56,151,Known
58,153,Known
59,154,Known
60,157,Known
60,159,Known
60,161,Known
60,165,Known
60,168,Known
60,170,Known
60,172,Known
60,173,Known
61,174,Known
61,175,Known
61,176,Known
61,179,Known
62,180,Known
63,185,Known
63,186,Known
63,187,Known
64,191,Known
64,192,Known
65,193,Known
66,194,Known
66,195,Known
66,196,Known
66,197,Known
67,198,Known
67,199,Known
67,200,Known
68,202,Known
70,204,Known
70,213,Known
72,215,Known
72,216,Known
72,217,Known
72,219,Known
72,220,Known
74,222,Known
75,225,Known
75,226,Known
75,228,Known
75,229,Known
75,232,Known
75,233,Known
75,234,Known
79,245,Known
81,247,Known
84,257,Known
84,258,Known
84,259,Known
85,260,Known
85,261,Known
86,263,Known
86,264,Known
86,265,Known
86,266,Known
86,267,Known
87,270,Known
87,271,Known
88,272,Known
88,273,Known
88,274,Known
89,277,Known
90,278,Known
90,279,Known
90,280,Known
90,281,Known
90,282,Known
90,283,Known
90,284,Known
90,285,Known
90,287,Known
90,288,Known
90,293,Known
90,296,Known
91,299,Known
92,300,Known
92,302,Known
92,305,Known
93,310,Known
93,318,Known
93,319,Known
95,322,Known
96,328,Known
96,329,Known
96,332,Known
96,333,Known
96,334,Known
96,335,Known
96,337,Known
96,338,Known
96,340,Known
96,356,Known
96,365,Known
96,366,Known
96,367,Known
96,368,Known
96,369,Known
96,370,Known
96,371,Known
96,372,Known
96,373,Known
96,374,Known
99,379,Known
99,380,Known
99,381,Known
100,382,Known
101,383,Known
101,384,Known
101,385,Known
101,386,Known
101,390,Known
103,392,Known
103,394,Known
103,397,Known
103,398,Known
103,399,Known
104,402,Known
104,403,Known
104,404,Known
104,405,Known
104,406,Known
104,407,Known
105,408,Known
106,411,Known
106,412,Known
106,413,Known
106,414,Known
106,417,Known
106,420,Known
