Precision,Recall,threshold,sample
0.7164102564102565,0.6313105229180116,11,mcf7
0.7964543180815066,0.4105646353949414,11,imr90
0.7983880967141972,0.6216851184346035,10,HepG2
0.628796777982883,0.7679537629119528,8,K562
0.722225798146241,0.7104954883647301,5,GM12878
0.6251333825822868,0.6604231703087062,7,h1
0.8087894840102021,0.6310697446574001,9,huvec
