#FBE183
#F6CE37
#F7B70A
#FD9D00
#E76624
#C8403D
#A13540
#BF4861
#E05F7E
#E67587
#E78E97
#DD9CA5
#B582A2
#A56999
#98528D
#723B79
#474A82
#1F709A
#278D89
#4FA770
#92C051
