#5B859E
#395B7B
#26405D
#566C51
#637E4A
#336547
#576952
#C2856A
#CB7456
#B15232
#C16F5F
#CF8A8B
#995556
#7B3B41
#9A6A81
#967192
#69476A
#856454
#CBAB49
#C7A12E
#B38711
