#FBE183
#F7D450
#F4C71E
#F7B70A
#FBA504
#F78C09
#E76624
#D5433C
#BB3C3E
#A13540
#B14054
#CE506E
#E05F7E
#E46E84
#E77D8A
#E78E97
#E69FA4
#D093A4
#B682A2
#A7719D
#A26296
#99528D
#7F4380
#653473
#474A82
#2A6494
#227994
#278D89
#389F7A
#65AF65
#92C051
