#B24422
#B64635
#BA4849
#BE4A5C
#C24C70
#AE4E7D
#905188
#725393
#55559E
#3F539E
#334A8D
#28417D
#1C386C
#183462
#3D4E7C
#626995
#8683AE
#AB9DC8
#9F8BB8
#8A73A2
#765A8B
#614275
#56406A
#514F67
#4C5E65
#476D62
#477B60
#54885F
#61955E
#6EA25D
#7CAF5C
