#BD3106
#C33F07
#CA4E09
#D05D0B
#D76B0D
#DB780E
#DF830E
#E38E0E
#E6990E
#E9A30D
#EAAA0A
#EBB108
#EDB805
#E9BB04
#C6AA08
#A4980C
#82860F
#5F7513
#6F8639
#889D64
#A0B590
#B8CCBB
#BBCFCB
#ADC4C7
#A0B9C2
#92ADBE
#849FB7
#748AAB
#64759F
#546093
#454B87
