#17154F
#1F205F
#282C70
#35397F
#4B478B
#615698
#7569A9
#8780BD
#9997D1
#A291C3
#A984AD
#B27A9A
#CC90A2
#E5A5AA
#F3ACA7
#ED9A90
#E68779
#DB6F60
#CD5445
#C0392B
#CB581B
#DA7C0C
#E79D05
#ECA822
#F2B440
#E9B74C
#CEAE44
#B4A63D
#8D8F35
#61732E
#355828
